Crop,Region,Month,Fertilizer,N,P,K,Temperature(C),Humidity(%),Soil_pH,Moisture(%)
Tomato,Kerala,November,Magnesium Sulphate,76.3,12.2,106.7,43.9,57.2,5.3,44.4
Tomato,Goa,September,Boron Fortified NPK,60.0,58.3,1.8,38.7,61.4,4.7,19.0
Tomato,Gujarat,October,NPK 19:19:19,57.3,91.6,72.0,21.4,61.4,7.3,11.3
Tomato,Andhra Pradesh,August,Water Soluble NPK (19:19:19),80.6,48.0,75.2,29.4,77.7,6.9,39.7
Tomato,Karnataka,May,Gypsum,44.2,25.6,11.9,20.0,72.0,5.3,10.8
Tomato,Arunachal Pradesh,May,Zinc Fortified Urea,108.0,72.9,24.1,12.2,64.2,4.5,28.5
Tomato,Gujarat,August,Ammonium Nitrate,139.3,64.0,80.9,24.4,41.7,6.3,33.5
Tomato,Kerala,March,Boron Fortified NPK,100.6,8.3,56.1,19.8,64.4,7.7,33.0
Chilli,Madhya Pradesh,March,NPK 10:26:26,11.3,13.5,65.3,10.3,30.4,8.2,17.2
Chilli,Assam,March,Double Super Phosphate (DSP),10.7,82.3,99.4,32.4,64.8,7.7,32.3
Chilli,Goa,June,NPK 15:15:15,48.6,28.0,27.0,33.8,46.4,7.2,44.6
Chilli,Arunachal Pradesh,November,Chelated Iron,5.3,76.5,35.2,15.1,32.4,6.4,5.3
Chilli,Bihar,November,Single Super Phosphate (SSP),45.5,73.6,93.6,37.1,39.0,5.7,38.1
Chilli,Karnataka,November,Dolomite,20.9,76.4,85.4,41.7,88.3,8.9,36.8
Chilli,Assam,March,NPK 14:28:14,67.3,71.8,1.1,35.2,99.2,5.8,30.9
Chilli,Madhya Pradesh,February,Sulfur Coated Urea,7.0,72.9,12.0,41.9,96.8,5.4,25.4
Chilli,Jharkhand,November,Neem-Coated Urea,44.4,24.2,79.2,31.0,59.2,5.0,9.9
Chilli,Maharashtra,December,Zinc EDTA,31.8,21.0,11.2,15.3,56.2,4.8,40.0
Chilli,Himachal Pradesh,July,NPK 20:20:0,40.7,6.3,88.4,37.0,93.5,6.0,15.4
Chilli,Chhattisgarh,November,Vesicular Arbuscular Mycorrhiza (VAM),127.2,86.5,115.1,30.0,27.1,5.3,46.1
Chilli,Himachal Pradesh,July,Single Super Phosphate (SSP),126.7,56.2,49.4,43.1,95.6,8.0,44.6
Chilli,Kerala,June,Boron Fortified NPK,106.4,62.8,19.7,12.9,35.4,8.4,47.6
Chilli,Chhattisgarh,February,Zinc Fortified Urea,120.0,74.6,69.4,24.9,65.0,6.4,8.0
Chilli,Goa,August,Calcium Nitrate,88.1,53.0,29.8,42.7,49.5,8.7,7.4
Chilli,Kerala,June,Molybdenum (Ammonium Molybdate),87.6,58.4,14.9,17.5,50.5,5.1,44.8
Chilli,Assam,August,Water Soluble NPK (13:40:13),74.2,94.3,52.2,31.5,44.3,5.7,26.8
Chilli,Assam,June,Dolomite,127.7,4.0,60.4,37.7,89.2,7.4,18.6
Chilli,Haryana,February,Vesicular Arbuscular Mycorrhiza (VAM),75.1,19.6,23.1,20.6,39.7,7.2,44.0
Chilli,Arunachal Pradesh,November,Ferrous Sulphate,71.9,35.6,8.6,26.5,24.6,4.7,47.9
Chilli,Arunachal Pradesh,November,Potash Mobilizing Biofertilizer,38.9,9.0,77.4,29.5,79.2,5.8,20.4
Chilli,Chhattisgarh,October,Muriate of Potash (MOP),109.2,15.1,51.2,12.1,32.0,6.3,6.5
Chilli,Kerala,November,Gypsum,108.7,76.4,96.4,42.0,98.3,5.9,19.8
Chilli,Maharashtra,January,Manganese Sulphate,18.5,32.2,65.8,13.8,76.8,8.3,9.2
Chilli,Gujarat,June,NPK 20:20:13,26.8,64.8,84.0,44.8,43.1,5.2,39.8
Chilli,Himachal Pradesh,October,Chelated Iron,84.2,80.8,58.0,33.1,82.4,4.7,40.9
Chilli,Arunachal Pradesh,July,Polymer Coated Urea,14.0,40.9,118.0,42.2,83.8,7.2,38.6
Chilli,Gujarat,November,Zinc Sulphate,14.5,73.6,105.8,22.4,43.2,4.7,49.6
Chilli,Bihar,February,Potassium Nitrate,74.8,19.2,44.8,20.9,54.9,8.1,8.4
Chilli,Haryana,July,Magnesium Sulphate,79.7,6.1,9.8,26.8,86.0,7.6,18.1
Chilli,Assam,September,Azotobacter Biofertilizer,49.0,45.1,5.4,11.6,32.8,6.7,12.2
Chilli,Arunachal Pradesh,December,Gypsum,17.6,39.2,3.7,30.7,45.8,6.9,27.1
Chilli,Jharkhand,October,Single Super Phosphate (SSP),77.2,1.3,88.2,16.3,58.9,7.3,36.0
Chilli,Gujarat,November,NPK 19:19:19,78.3,84.8,13.4,21.8,37.3,5.7,16.1
Chilli,Haryana,February,Ammonium Nitrate,117.4,79.2,60.3,13.9,24.6,6.0,8.1
Chilli,Chhattisgarh,February,Anhydrous Ammonia,23.6,4.4,40.7,32.3,33.9,6.3,44.3
Chilli,Gujarat,December,Gypsum,58.1,57.7,112.1,23.5,94.6,8.5,47.1
Chilli,Arunachal Pradesh,August,Molybdenum (Ammonium Molybdate),37.4,29.6,24.3,37.9,85.3,6.0,24.6
Chilli,Gujarat,March,Polymer Coated Urea,132.2,74.9,41.6,27.3,23.9,7.7,50.0
Chilli,Jharkhand,May,NPK 19:19:19,7.3,86.1,109.2,29.9,84.6,7.1,49.7
Chilli,Bihar,January,Triple Super Phosphate (TSP),129.6,48.5,15.2,42.8,67.2,4.8,5.8
Chilli,Bihar,February,Potash Mobilizing Biofertilizer,82.9,13.5,74.3,17.7,80.6,8.5,44.1
Chilli,Haryana,April,Bone Meal,51.0,98.2,92.3,25.6,93.9,7.9,46.5
Chilli,Gujarat,September,Dolomite,55.7,31.3,17.0,43.6,27.0,6.7,47.6
Chilli,Madhya Pradesh,August,Polymer Coated Urea,80.7,7.8,53.8,36.0,31.7,6.8,41.0
Chilli,Assam,February,Calcium Ammonium Nitrate (CAN),46.7,69.1,108.3,38.2,52.9,5.5,29.5
Chilli,Jharkhand,July,Boron Fortified NPK,54.7,3.0,27.1,29.9,83.3,6.8,14.1
Chilli,Andhra Pradesh,December,Manganese Sulphate,12.0,97.4,118.9,45.0,38.3,8.4,20.2
Chilli,Haryana,June,Potassium Nitrate,100.3,1.6,40.4,34.7,41.7,7.1,9.7
Chilli,Kerala,November,Rhizobium Biofertilizer,74.5,83.3,25.3,41.5,55.9,7.0,15.5
Chilli,Goa,May,Triple Super Phosphate (TSP),117.2,14.1,66.1,43.6,59.8,5.2,39.3
Chilli,Arunachal Pradesh,December,Dolomite,47.8,65.2,99.4,44.4,75.7,7.8,40.1
Chilli,Gujarat,December,Phosphobacteria,122.9,17.4,20.6,37.4,73.6,8.9,42.5
Chilli,Arunachal Pradesh,July,Double Super Phosphate (DSP),0.3,62.0,96.9,14.3,22.2,8.9,9.5
Chilli,Arunachal Pradesh,May,Dolomite,62.1,10.5,81.1,35.5,78.3,6.2,6.3
Chilli,Bihar,October,Pyrites,76.1,75.4,109.4,28.6,50.2,5.2,21.7
Chilli,Bihar,November,Diammonium Phosphate (DAP),15.5,85.1,111.2,38.1,51.9,7.3,16.7
Chilli,Maharashtra,March,NPK 28:28:0,119.1,60.8,51.4,14.1,60.0,8.6,47.3
Chilli,Kerala,May,Zinc Oxysulphate,114.1,76.2,37.3,39.8,37.3,8.6,36.1
Chilli,Arunachal Pradesh,May,Phosphobacteria,77.8,46.0,48.7,44.5,77.9,7.8,47.5
Chilli,Goa,March,Rhizobium Biofertilizer,101.3,75.4,120.0,17.6,32.0,5.5,13.5
Chilli,Madhya Pradesh,May,Rhizobium Biofertilizer,87.2,60.4,66.8,12.9,62.3,5.8,48.0
Chilli,Karnataka,February,Water Soluble NPK (19:19:19),16.4,4.0,12.8,18.4,41.4,8.5,18.0
Chilli,Andhra Pradesh,February,Water Soluble NPK (13:40:13),92.0,90.0,2.5,12.5,84.7,8.3,22.4
Chilli,Assam,March,Urea,116.3,88.7,23.4,14.1,83.4,8.1,43.1
Chilli,Bihar,July,Potassium Nitrate,125.5,9.2,74.1,20.5,22.3,7.1,17.2
Chilli,Madhya Pradesh,May,Diammonium Phosphate (DAP),34.2,92.0,62.5,40.1,88.5,8.7,45.1
Chilli,Jharkhand,December,Dolomite,99.9,45.0,83.5,43.1,52.1,7.7,47.6
Chilli,Haryana,September,Triple Super Phosphate (TSP),95.8,55.5,3.2,18.9,97.5,7.6,9.5
Chilli,Andhra Pradesh,September,NPK 20:20:13,52.1,95.8,51.7,23.9,52.6,8.4,29.3
Chilli,Haryana,March,Pyrites,47.9,51.4,42.1,31.8,44.0,8.0,15.8
Chilli,Arunachal Pradesh,July,Green Manure,132.2,72.3,64.3,37.1,33.4,8.2,28.8
Chilli,Maharashtra,March,NPK 15:15:15,88.0,46.9,82.0,20.0,69.4,5.1,30.3
Chilli,Himachal Pradesh,May,Sulfur Coated Urea,62.9,5.9,36.0,24.8,50.6,7.7,38.6
Chilli,Arunachal Pradesh,March,Triple Super Phosphate (TSP),51.7,93.4,47.5,37.8,35.3,7.4,36.6
Chilli,Maharashtra,June,Ammonium Nitrate,120.7,70.1,87.9,32.1,84.6,5.6,47.3
Chilli,Bihar,November,Potassium Nitrate,135.9,75.5,54.3,37.3,20.7,8.1,14.5
Chilli,Assam,March,NPK 30:10:10,66.8,4.3,72.0,26.8,67.5,8.6,21.7
Chilli,Maharashtra,December,Farmyard Manure (FYM),127.7,44.5,4.5,38.2,75.7,6.6,40.8
Chilli,Jharkhand,August,Azotobacter Biofertilizer,8.8,86.7,42.5,35.7,26.9,8.9,14.1
Chilli,Chhattisgarh,March,NPK 16:20:0,74.7,36.2,52.5,22.7,50.3,8.7,48.8
Chilli,Kerala,July,Triple Super Phosphate (TSP),22.4,84.9,98.2,20.2,47.4,8.6,11.0
Chilli,Jharkhand,November,Gypsum,63.2,98.0,14.2,17.9,94.8,7.6,48.6
Chilli,Chhattisgarh,November,Zinc Fortified Urea,45.1,24.2,50.8,42.6,72.5,8.3,41.8
Chilli,Goa,May,Zinc Fortified Urea,50.9,67.5,33.3,43.2,96.1,6.5,37.0
Chilli,Andhra Pradesh,January,NPK 28:28:0,43.5,58.2,110.2,16.1,99.4,4.9,23.3
Chilli,Gujarat,August,Azolla,118.0,73.4,57.0,28.9,98.1,4.9,28.3
Chilli,Gujarat,November,Manganese Sulphate,3.6,0.9,68.5,25.4,23.8,7.6,41.1
Chilli,Madhya Pradesh,August,Monoammonium Phosphate (MAP),67.7,68.6,89.3,14.6,82.7,5.1,39.4
Chilli,Andhra Pradesh,May,Dolomite,47.1,82.0,116.6,38.9,48.5,8.1,46.6
Chilli,Andhra Pradesh,November,Rhizobium Biofertilizer,132.9,96.3,32.6,43.0,71.0,6.2,21.0
Chilli,Madhya Pradesh,October,Magnesium Sulphate,125.2,97.0,48.2,12.9,30.6,4.8,20.4
Chilli,Assam,September,Chelated Iron,28.7,45.5,66.0,22.4,71.7,6.9,26.0
Chilli,Madhya Pradesh,October,Zinc Sulphate,20.4,22.3,103.7,32.3,86.6,7.1,41.5
Chilli,Maharashtra,January,Water Soluble NPK (19:19:19),137.6,44.7,11.0,33.5,40.6,5.7,36.4
Chilli,Maharashtra,August,NPK 19:19:19,52.1,17.5,46.7,15.0,65.7,8.0,37.0
Chilli,Kerala,December,Sulfur Coated Urea,10.6,6.8,97.4,42.7,22.3,8.2,48.9
Chilli,Madhya Pradesh,September,Polymer Coated Urea,73.1,54.0,84.4,14.8,55.6,7.7,20.4
Chilli,Assam,December,Water Soluble NPK (19:19:19),95.7,81.0,40.9,22.0,44.2,6.4,16.5
Cabbage,Kerala,February,NPK 30:10:10,36.6,31.2,14.7,12.3,94.2,7.6,48.2
Cabbage,Arunachal Pradesh,September,Magnesium Sulphate,108.8,99.1,4.7,26.2,87.7,4.5,13.6
Cabbage,Andhra Pradesh,November,Water Soluble NPK (19:19:19),122.8,1.7,70.1,26.6,43.6,8.9,48.3
Cabbage,Andhra Pradesh,February,Ammonium Chloride,104.1,89.3,72.3,10.9,83.4,9.0,9.6
Cabbage,Bihar,May,Zinc Fortified Urea,52.5,9.1,95.5,41.1,85.1,7.3,27.7
Cabbage,Kerala,May,Sulphur-Coated Urea,13.8,63.6,71.1,15.2,69.8,8.4,19.5
Cabbage,Himachal Pradesh,August,Ammonium Sulphate (AS),77.7,18.7,64.3,44.6,45.1,5.7,38.7
Cabbage,Jharkhand,January,Sulfur Coated Urea,37.4,83.0,56.2,23.3,60.6,4.6,42.3
Cabbage,Gujarat,March,NPK 14:35:14,130.8,85.4,42.2,25.8,50.7,7.9,35.9
Cabbage,Madhya Pradesh,September,Ferrous Sulphate,59.2,58.6,63.6,39.1,26.5,7.7,12.3
Cabbage,Chhattisgarh,September,Rhizobium Biofertilizer,99.6,8.3,0.2,21.1,85.8,4.6,5.6
Cabbage,Goa,June,Calcium Ammonium Nitrate (CAN),77.1,52.2,10.0,22.6,90.0,8.8,7.9
Cabbage,Madhya Pradesh,February,Polymer Coated Urea,122.7,24.5,116.7,18.3,30.3,8.2,13.3
Cabbage,Madhya Pradesh,July,Zinc Fortified Urea,135.9,74.8,91.0,26.5,35.4,6.7,31.6
Cabbage,Himachal Pradesh,October,NPK 28:28:0,92.7,95.3,107.1,40.2,72.0,6.3,20.6
Cabbage,Goa,December,Boron Fortified NPK,16.3,87.2,97.7,43.3,29.6,5.5,36.4
Cabbage,Kerala,July,Phosphobacteria,40.7,5.4,97.9,31.4,44.5,8.3,31.7
Cabbage,Goa,March,Monoammonium Phosphate (MAP),114.5,71.8,50.3,36.9,41.6,5.4,33.1
Cabbage,Bihar,January,NPK 14:35:14,95.8,94.2,84.9,28.0,47.1,8.6,15.6
Cabbage,Jharkhand,April,NPK 20:20:13,53.1,66.1,85.0,33.3,31.6,7.2,10.7
Cabbage,Gujarat,September,NPK 19:19:19,88.0,67.1,71.0,17.8,51.8,4.5,39.1
Cabbage,Assam,January,Phosphobacteria,112.4,91.0,51.6,11.2,75.2,7.8,6.3
Cabbage,Andhra Pradesh,February,Zinc Sulphate,1.4,83.1,77.6,20.8,71.6,8.9,18.6
Cabbage,Bihar,May,Potassium Nitrate,55.3,40.7,92.1,18.1,42.9,4.7,33.2
Cabbage,Himachal Pradesh,July,Ammonium Nitrate,58.0,43.4,8.7,18.5,79.0,6.1,44.3
Cabbage,Arunachal Pradesh,December,Polymer Coated Urea,99.6,94.8,109.5,39.6,46.2,7.0,16.9
Cabbage,Kerala,February,Rock Phosphate,32.6,88.2,61.5,16.9,49.9,7.1,23.5
Cabbage,Chhattisgarh,March,Copper Sulphate,132.8,85.9,48.9,20.7,95.3,8.8,42.6
Cabbage,Maharashtra,June,NPK 12:32:16,61.5,20.3,60.7,15.6,57.1,5.0,39.1
Cabbage,Andhra Pradesh,January,Molybdenum (Ammonium Molybdate),64.5,9.1,4.3,28.1,25.9,8.0,33.9
Cabbage,Maharashtra,March,Sulphur-Coated Urea,38.4,4.1,117.5,23.5,96.6,8.0,45.1
Cabbage,Kerala,November,Zinc Sulphate,34.0,79.0,5.1,21.2,61.5,5.1,17.8
Cabbage,Haryana,October,Gypsum,33.6,47.0,27.1,24.6,48.2,6.9,44.4
Cabbage,Madhya Pradesh,November,Zinc Sulphate,104.1,74.1,110.5,19.8,93.8,6.9,13.5
Cabbage,Himachal Pradesh,April,Dolomite,13.9,61.3,91.7,22.9,40.8,7.5,39.6
Cabbage,Goa,October,Rock Phosphate,111.0,9.6,69.0,25.0,25.4,7.8,44.7
Cabbage,Karnataka,June,Azotobacter Biofertilizer,84.7,69.3,111.2,16.8,47.6,6.6,15.2
Cabbage,Gujarat,May,Monoammonium Phosphate (MAP),88.8,29.1,34.5,43.7,55.7,7.3,27.0
Cabbage,Bihar,September,Triple Super Phosphate (TSP),103.8,38.0,106.9,29.5,39.0,6.4,38.9
Cabbage,Madhya Pradesh,July,Ammonium Nitrate,19.2,42.6,90.3,36.2,93.1,7.4,36.2
Cabbage,Gujarat,June,NPK 14:28:14,102.8,98.0,50.7,27.3,20.3,6.0,24.3
Cabbage,Madhya Pradesh,January,Water Soluble NPK (13:40:13),42.0,63.8,23.8,13.2,87.5,6.7,46.0
Cabbage,Bihar,November,Zinc Sulphate,36.6,78.9,112.4,36.8,34.4,4.6,21.3
Cabbage,Assam,September,Calcium Nitrate,48.3,46.3,39.2,27.7,51.6,6.4,30.3
Cabbage,Jharkhand,March,Rhizobium Biofertilizer,25.7,29.1,50.6,32.1,29.8,6.3,11.2
Cabbage,Haryana,July,Sulphur-Coated Urea,17.8,29.4,70.1,13.4,20.3,6.8,49.6
Cabbage,Goa,May,Polymer Coated Urea,65.2,53.4,21.8,32.1,49.4,7.5,15.8
Cabbage,Maharashtra,February,Potassium Nitrate,6.2,87.2,108.5,17.2,62.4,7.8,33.4
Cabbage,Kerala,June,Manganese Sulphate,43.9,47.5,28.2,38.0,41.3,7.0,43.0
Cabbage,Assam,November,NPK 14:35:14,95.7,37.4,59.9,38.1,72.8,7.5,13.0
Cabbage,Gujarat,April,NPK 20:20:13,105.3,80.7,98.6,43.9,98.9,5.2,37.8
Cabbage,Madhya Pradesh,December,Ammonium Sulphate (AS),20.3,19.9,30.4,20.7,21.7,7.1,28.9
Cabbage,Assam,May,Compost,125.7,64.6,113.8,26.8,85.9,8.6,35.8
Cabbage,Maharashtra,February,Phosphobacteria,132.4,54.9,51.6,10.6,45.0,8.3,49.5
Cabbage,Assam,January,Azolla,18.0,25.7,3.0,21.6,89.7,7.8,14.9
Cabbage,Assam,January,Molybdenum (Ammonium Molybdate),55.2,3.3,98.2,20.5,28.4,7.1,41.7
Cabbage,Bihar,March,NPK 14:28:14,24.8,61.4,10.6,17.0,21.2,4.7,8.8
Cabbage,Kerala,December,Magnesium Sulphate,137.4,0.7,104.1,44.7,76.6,7.8,40.6
Cabbage,Kerala,August,NPK 28:28:0,77.0,73.4,114.8,39.1,28.0,9.0,22.8
Cabbage,Bihar,June,Dolomite,80.9,21.1,58.4,13.2,44.2,5.0,9.0
Cabbage,Gujarat,January,Monoammonium Phosphate (MAP),41.7,59.1,106.8,32.1,51.4,8.9,27.1
Cabbage,Jharkhand,November,Boron Fortified NPK,117.4,3.5,64.8,16.1,21.7,7.6,42.3
Cabbage,Madhya Pradesh,October,Azolla,64.1,75.8,70.6,28.9,84.9,5.5,48.1
Cabbage,Maharashtra,September,Triple Super Phosphate (TSP),129.5,21.5,34.4,17.2,91.6,7.9,15.9
Cabbage,Assam,February,Chelated Iron,68.1,26.7,22.7,29.5,73.1,7.1,7.0
Cabbage,Madhya Pradesh,October,Boron Fortified NPK,56.1,77.8,50.6,32.3,27.6,8.9,44.4
Cabbage,Andhra Pradesh,January,Zinc EDTA,91.0,48.7,22.2,41.7,39.8,4.6,46.0
Cabbage,Kerala,September,Monoammonium Phosphate (MAP),1.3,69.0,6.0,14.9,41.5,4.7,42.2
Cabbage,Andhra Pradesh,July,Manganese Sulphate,1.2,70.3,35.3,38.6,51.8,5.6,11.3
Cabbage,Bihar,March,Phosphobacteria,9.7,29.0,60.4,29.4,99.2,5.9,34.1
Cabbage,Haryana,January,NPK 19:19:19,0.4,4.4,8.0,38.9,25.6,7.0,44.3
Cabbage,Bihar,February,NPK 20:20:0,54.7,46.1,74.6,40.8,23.4,8.6,14.2
Cabbage,Gujarat,September,Rhizobium Biofertilizer,51.6,17.2,1.1,34.5,87.9,8.6,22.2
Cabbage,Maharashtra,May,Calcium Ammonium Nitrate (CAN),129.5,30.9,84.5,42.3,77.2,4.5,39.7
Cabbage,Maharashtra,December,Potassium Nitrate,105.6,25.0,28.9,28.4,56.7,7.0,29.2
Cabbage,Karnataka,February,NPK 10:26:26,52.7,13.5,44.0,35.5,83.5,7.1,29.7
Cabbage,Kerala,March,Neem-Coated Urea,132.2,49.5,50.4,24.2,68.2,8.6,8.2
Cabbage,Gujarat,December,Vesicular Arbuscular Mycorrhiza (VAM),136.6,95.0,73.1,11.9,56.2,8.5,5.9
Cabbage,Chhattisgarh,November,Molybdenum (Ammonium Molybdate),73.8,55.1,3.4,11.8,41.4,9.0,42.8
Cabbage,Karnataka,January,NPK 10:26:26,9.9,27.2,47.6,19.8,32.4,6.7,5.6
Cabbage,Gujarat,July,Manganese Sulphate,16.9,65.8,11.3,21.5,75.6,6.5,16.9
Cabbage,Arunachal Pradesh,January,Green Manure,129.7,67.7,12.9,19.0,41.7,4.8,18.0
Cabbage,Jharkhand,February,Urea,17.0,54.9,59.7,33.5,93.1,7.5,44.2
Cabbage,Jharkhand,January,NPK 12:32:16,30.3,75.7,91.7,25.0,57.1,4.8,46.8
Cabbage,Jharkhand,March,NPK 28:28:0,61.6,53.9,107.0,32.7,65.5,7.5,27.4
Cabbage,Haryana,July,Potash Mobilizing Biofertilizer,76.3,55.7,103.9,35.4,60.4,6.3,39.1
Cabbage,Maharashtra,November,Farmyard Manure (FYM),14.0,97.1,2.0,31.5,64.0,5.7,29.1
Cabbage,Arunachal Pradesh,April,Farmyard Manure (FYM),57.9,24.0,87.8,34.4,71.8,6.1,13.5
Cabbage,Haryana,January,Azolla,90.1,66.4,33.0,18.9,86.0,6.7,18.2
Cabbage,Haryana,April,Azotobacter Biofertilizer,63.3,85.4,78.2,37.1,60.3,5.6,30.7
Cabbage,Bihar,January,Ferrous Sulphate,129.3,16.6,78.5,32.0,36.9,5.3,22.0
Cabbage,Assam,March,Triple Super Phosphate (TSP),126.2,46.1,80.2,31.0,75.6,8.2,46.8
Cabbage,Kerala,September,NPK 19:19:19,49.4,80.6,27.3,10.8,96.8,7.0,49.1
Cabbage,Goa,April,Magnesium Sulphate,120.4,61.7,50.5,27.9,50.0,8.1,9.6
Cabbage,Assam,November,Azotobacter Biofertilizer,42.2,20.1,77.7,13.5,80.5,8.6,11.8
Cabbage,Karnataka,January,Ferrous Sulphate,58.4,81.6,19.2,37.6,73.3,8.5,30.7
Cabbage,Andhra Pradesh,July,Rhizobium Biofertilizer,67.8,61.2,6.9,17.6,46.0,6.8,45.3
Cabbage,Karnataka,September,Rhizobium Biofertilizer,5.6,74.8,26.5,28.9,40.3,4.8,13.5
Cabbage,Karnataka,July,Compost,44.4,92.2,67.1,22.5,77.1,5.9,14.6
Cabbage,Chhattisgarh,November,Potassium Nitrate,124.9,11.7,88.6,11.2,85.2,8.6,24.9
Cauliflower,Himachal Pradesh,March,Ammonium Sulphate (AS),67.9,85.7,45.6,33.5,50.9,5.6,41.0
Cauliflower,Maharashtra,February,Bone Meal,7.5,89.3,84.1,25.7,66.6,4.6,8.3
Cauliflower,Gujarat,October,Manganese Sulphate,96.0,3.4,15.0,12.8,22.2,6.5,41.6
Cauliflower,Arunachal Pradesh,April,Ammonium Chloride,108.9,57.0,95.8,28.5,82.1,7.5,30.5
Cauliflower,Bihar,August,Diammonium Phosphate (DAP),115.0,99.5,29.5,34.5,36.3,8.6,45.7
Cauliflower,Chhattisgarh,September,Anhydrous Ammonia,98.2,40.0,38.6,10.0,52.9,6.3,25.9
Cauliflower,Jharkhand,January,Boron (Boric Acid/Borax),44.4,39.6,57.1,26.2,58.5,8.1,35.3
Cauliflower,Himachal Pradesh,July,NPK 10:26:26,126.1,4.4,94.1,12.2,37.8,5.7,7.1
Cauliflower,Bihar,May,Water Soluble NPK (13:40:13),5.4,55.1,103.9,11.6,100.0,5.6,30.4
Cauliflower,Bihar,June,Boron (Boric Acid/Borax),124.9,72.0,119.8,21.7,44.7,9.0,24.4
Cauliflower,Bihar,October,Calcium Ammonium Nitrate (CAN),88.2,95.9,34.9,20.1,81.6,5.3,45.9
Cauliflower,Chhattisgarh,June,Pyrites,92.6,56.1,88.3,27.3,37.2,7.6,5.8
Cauliflower,Chhattisgarh,May,Anhydrous Ammonia,0.4,91.5,70.3,43.9,86.9,4.9,39.9
Cauliflower,Kerala,January,Sulfur Coated Urea,41.6,76.8,98.2,44.1,40.7,7.4,40.3
Cauliflower,Gujarat,March,Sulphate of Potash (SOP),49.3,53.1,20.5,21.1,79.6,8.1,39.5
Cauliflower,Andhra Pradesh,December,Boron (Boric Acid/Borax),125.4,9.9,72.7,14.7,61.0,5.4,41.0
Cauliflower,Himachal Pradesh,August,Calcium Nitrate,64.5,38.7,57.5,36.3,72.1,7.8,17.6
Cauliflower,Karnataka,February,NPK 14:28:14,43.5,23.2,0.7,39.9,37.0,8.1,10.4
Cauliflower,Bihar,May,NPK 15:15:15,38.1,59.8,76.6,19.7,35.2,5.3,20.0
Cauliflower,Jharkhand,August,Diammonium Phosphate (DAP),7.2,85.3,69.1,13.3,44.8,7.3,33.1
Cauliflower,Karnataka,March,Sulphur-Coated Urea,105.1,3.9,101.3,28.6,30.8,4.6,32.2
Cauliflower,Jharkhand,November,Magnesium Sulphate,32.6,32.4,14.3,10.0,37.5,6.0,42.2
Cauliflower,Gujarat,April,Calcium Ammonium Nitrate (CAN),0.1,76.1,93.8,31.6,21.1,6.7,48.9
Cauliflower,Arunachal Pradesh,December,Zinc Fortified Urea,5.4,70.4,65.2,29.1,38.4,8.6,40.2
Cauliflower,Gujarat,February,Potash Mobilizing Biofertilizer,63.1,0.2,21.7,10.5,95.3,6.5,17.4
Cauliflower,Madhya Pradesh,December,Boron Fortified NPK,49.3,83.8,67.4,34.6,25.7,8.3,7.2
Cauliflower,Himachal Pradesh,May,Bone Meal,91.0,16.0,86.6,32.8,43.0,5.6,21.8
Cauliflower,Himachal Pradesh,August,Sulphate of Potash (SOP),14.8,50.1,72.7,20.8,60.3,8.5,37.1
Cauliflower,Andhra Pradesh,January,Zinc Oxysulphate,132.2,35.8,50.2,16.2,74.4,5.4,13.1
Cauliflower,Goa,November,NPK 17:17:17,118.8,69.2,81.8,17.8,73.5,6.2,29.3
Cauliflower,Haryana,February,Ammonium Nitrate,84.7,93.2,54.8,17.6,65.9,4.9,25.8
Cauliflower,Madhya Pradesh,December,Ferrous Sulphate,92.9,86.4,18.6,42.6,55.5,5.4,30.5
Cauliflower,Karnataka,September,Phosphobacteria,8.3,94.4,62.0,44.5,25.3,6.0,41.2
Cauliflower,Arunachal Pradesh,May,Green Manure,91.3,55.4,74.1,32.8,21.8,7.1,10.4
Cauliflower,Chhattisgarh,September,Dolomite,32.8,69.0,67.9,43.0,33.9,5.7,31.2
Cauliflower,Goa,September,NPK 14:35:14,68.3,17.6,116.5,32.3,72.8,5.9,32.1
Cauliflower,Himachal Pradesh,July,Zinc Fortified Urea,38.4,37.6,6.3,18.4,90.9,8.5,15.7
Cauliflower,Jharkhand,July,Gypsum,28.6,93.4,50.5,21.4,36.8,5.9,9.4
Cauliflower,Arunachal Pradesh,November,Rhizobium Biofertilizer,57.3,72.3,114.5,26.6,34.5,8.7,48.8
Cauliflower,Himachal Pradesh,November,Zinc Oxysulphate,58.1,89.6,36.7,10.7,35.4,6.2,30.0
Cauliflower,Kerala,April,Azolla,112.0,92.9,3.4,43.0,43.3,7.0,26.6
Cauliflower,Assam,June,NPK 20:20:13,79.2,22.0,104.8,31.5,26.7,4.7,33.6
Cauliflower,Gujarat,January,Polymer Coated Urea,104.9,22.0,109.8,12.7,99.0,5.2,49.4
Cauliflower,Karnataka,April,Urea,129.6,90.6,18.3,43.0,34.8,8.0,29.7
Cauliflower,Assam,January,Ammonium Sulphate (AS),14.6,21.8,83.2,19.2,38.1,7.9,6.1
Cauliflower,Chhattisgarh,June,Azolla,11.7,68.0,0.2,30.4,57.0,7.8,46.3
Cauliflower,Kerala,July,Zinc EDTA,124.1,37.1,19.0,43.2,58.9,4.7,14.9
Cauliflower,Gujarat,June,Zinc Fortified Urea,7.5,13.9,63.7,35.8,83.0,6.5,36.5
Cauliflower,Maharashtra,March,Sulfur Coated Urea,41.1,85.6,53.8,12.2,21.2,7.3,19.0
